"Name","main","experiment","model","test/davidson_accuracy","test/davidson_f1-score","test/davidson_precision","test/davidson_recall","test/garcia_accuracy","test/garcia_f1-score","test/garcia_precision","test/garcia_recall","test/waseem_accuracy","test/waseem_f1-score","test/waseem_hovy_accuracy","test/waseem_hovy_f1-score","test/waseem_hovy_precision","test/waseem_hovy_recall","test/waseem_precision","test/waseem_recall","test/wulczyn_accuracy","test/wulczyn_f1-score","test/wulczyn_precision","test/wulczyn_recall"
"desert-sweep-2","waseem","liwc","lstm","0.5522388059701493","0.48268335601861945","0.551967543327123","0.5292269886805879","0.5502092050209205","0.540637305954238","0.5502092050209205","0.5547746371275784","0.615606936416185","0.5059636917989844","0.541371158392435","0.5118640438276635","0.5203672447490008","0.5180304096560254","0.5550123811806055","0.5307052350932259","0.7446494696541769","0.5661731434731294","0.6530123820796604","0.5682944855219327"
"jolly-sweep-1","waseem","liwc","lstm","0.4376764824526019","0.4110607337238093","0.5299736932083818","0.5177862584883784","0.5251046025104602","0.48653956266000387","0.5251046025104602","0.5358858858858859","0.7326589595375722","0.5731741877406771","0.5986997635933806","0.5269389598790735","0.5267484193604853","0.5282113821138211","0.593697579678888","0.5683088749126485","0.8038975710788928","0.5696974348155978","0.5990748755562332","0.5617235073532614"
"fine-sweep-5","waseem","liwc","mlp","0.19443323920935865","0.1780488967100956","0.5148048389610329","0.5787728026533996","0.5","0.3333333333333333","0.5","0.25","0.8583815028901735","0.6004430618401206","0.6950354609929078","0.48535777947542647","0.5343709801490627","0.6859615434742943","0.5802380381819634","0.7612211993550736","0.9049457101613004","0.48123000724149856","0.5031167979002624","0.9524445002669012"
"dulcet-sweep-4","waseem","liwc","mlp","0.16942315449778136","0.14559381457622095","0.5007274490785645","0.5842084006462036","0.5","0.3333333333333333","0.5","0.25","0.8439306358381503","0.4754043126684636","0.6802600472813238","0.4118715124179605","0.5019592382096417","0.5905581947743468","0.5067816918284208","0.6235807860262008","0.904663277474424","0.47823467590672586","0.5016404199475065","0.9523166750376696"
"lilac-sweep-3","waseem","liwc","mlp","0.1754739814441307","0.1535461324637836","0.504364694471387","0.5847216578626575","0.5","0.3333333333333333","0.5","0.25","0.8540462427745664","0.542660463411921","0.683806146572104","0.4364294372574668","0.5114230011353946","0.6426594464500601","0.5433101685438134","0.7856089338390224","0.9047574217033828","0.4792350284158274","0.5021325459317585","0.9523592754214674"
"sweet-sweep-2","waseem","liwc","mlp","0.1690197660346914","0.1450602154685181","0.5004849660523764","0.5841744045215987","0.5","0.3333333333333333","0.5","0.25","0.8453757225433526","0.4844558322831301","0.6802600472813238","0.4135925887725875","0.5024490477620521","0.5906658739595719","0.5114545890246824","0.674198250728863","0.9046005146551184","0.47756671000618167","0.5013123359580053","0.9522882792391236"
"wise-sweep-1","waseem","liwc","mlp","0.3602258975393304","0.3595421314637198","0.6048997853123903","0.5914293215263882","0.497907949790795","0.3324022346368715","0.497907949790795","0.24947589098532497","0.8482658959537572","0.6097388053689112","0.7015366430260047","0.5620038352729262","0.572456483231651","0.6538729128014842","0.5895279175653008","0.6965488215488216","0.9052281428481768","0.48420824387648664","0.5045931758530183","0.9525723977636786"
"fluent-sweep-5","wulczyn","liwc","cnn","0.926179911254538","0.8713948083028374","0.8810141023941274","0.8625921375921376","0.5564853556485355","0.5122167241080541","0.5564853556485355","0.5886766524666758","0.7760115606936416","0.5597584951506123","0.6572104018912529","0.573944151153098","0.5722035487906522","0.5865512149953702","0.5582474638549405","0.5615878378378378","0.8861482457792004","0.7584848674787742","0.8618003743832459","0.7145521818736649"
"dainty-sweep-4","wulczyn","liwc","cnn","0.8943122226704316","0.8390033096757945","0.9029899261967728","0.8042706110657429","0.5502092050209205","0.47492118964046126","0.5502092050209205","0.6177339901477832","0.8121387283236994","0.5550675608839298","0.6702127659574468","0.5359972950179972","0.5474737871592813","0.5845360618374508","0.5490694144899753","0.5822422149034728","0.9471850875541328","0.843465044177679","0.8349629605949476","0.8525580624331087"
"dry-sweep-5","garcia","word","cnn","0.5550625252117789","0.511018695775411","0.6359288902534617","0.5763816185879214","0.6841004184100419","0.6798619704691319","0.6841004184100419","0.6943951493640934","0.7514450867052023","0.5134092098377813","0.6737588652482269","0.5798285455160549","0.5784891703910928","0.6038356373926843","0.5131719785925393","0.5138128026000569","0.8038034268499341","0.5212882064434023","0.5275839534346152","0.5202894887257757"
"vague-sweep-4","garcia","word","cnn","0.41306978620411455","0.39705627922721054","0.5448355185880394","0.5283216942473579","0.6694560669456067","0.6689866760168304","0.6694560669456067","0.6704227335950843","0.7167630057803468","0.5215802469135803","0.6371158392434988","0.5546757655773121","0.5540051165024065","0.5626477541371159","0.5270229251537663","0.5215458494147018","0.634092763446934","0.482124705145327","0.5665097218875124","0.5248912367135976"
"dauntless-sweep-3","garcia","word","cnn","0.6058894715611134","0.5088288731153305","0.5555210535742114","0.5327380952380952","0.6903765690376569","0.6884073291050035","0.6903765690376569","0.6953140435009071","0.611271676300578","0.4885243018824377","0.5916075650118203","0.5585523098967526","0.5665980397982306","0.5600360187158343","0.5219027078840163","0.512495898501586","0.5631707776313312","0.4508029035709454","0.5704254859304361","0.5245941351571648"
"smart-sweep-2","garcia","word","cnn","0.517950786607503","0.45676011059160126","0.527530255136337","0.5154087497640389","0.6610878661087866","0.6610878661087866","0.6610878661087866","0.6610878661087866","0.630057803468208","0.4885439763488544","0.6122931442080378","0.56344208159817","0.5651486853029833","0.5626433187408797","0.5101046409457625","0.5060764139070622","0.6720015063076633","0.5013963423258095","0.5750000478156969","0.5298440932877626"
